RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PRINCIPAL_BALANCE_OPEN_ACCOUNTS,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT
F,26,Y3,2021 H2,14.0,9.0,False,False,False,APPROVED,2,500,Y3+,Eligible,Non-Rewards,Low,61,1,,,,,,,,,0,,,,,,,,0,0.00,1,0E-8,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,7,Y1-S7,2022 Q1,8.0,3.0,False,False,False,APPROVED,1,100,Y1,Eligible,Non-Rewards,Low,80,850,,,,,,,,,0,,,,,,,,20,27100.00,850,11234.72229033,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,11,Y1-S11,2023 Q1,7.0,6.0,False,False,False,OTHER,3,0,Y1,Eligible,Rewards,Low,27,6,,,,,,,,,0,,,,,,,,58,181850.00,6,117760.18158063,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.01590151305,0.69765027,0.038288859477126805,0.69765027,0.8756580839998711,0.0011400000000000002,2492,0.0056416,0.0494,1312.801987433887,0.941835764111678
F,11,Y1-S11,2023 Q3,12.0,9.0,False,False,False,APPROVED,1,2000,Y1,Eligible,Rewards,Low,40,1,,,,,,,,,0,,,,,,,,1,4350.00,1,3516.84200000,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.02295280928,0.83710933,0.02748205682813688,0.83710933,0.9015109165729641,0.001019999999999,2630,0.0061873,0.0613,962.4300475462902,0.9472573796835111
F,7,Y1-S7,2021 H2,4.0,2.0,False,False,False,APPROVED,1,100,Y1,Not Eligible,Rewards,High,22,33,33.0,0.0,0.0,19804.13,737.62,20851.26,42050.00,0.0,0,0.00,0.00,0.0,0.00,1.0,21020.60316120,20485.64,33,42050.00,33,21020.60316120,0.000000,0E-8,0.49586825,1274.24242424,0.00,1.0,737.62,0,21020.60316120,0.03509033,0.007567215676,0.41062583,0.06825454256352942,0.41062583,0.8471273005925111,0.0011400000000000002,850,0.00522745,0.033,316.4029338379114,0.9011729227418521
F,11,Y1-S11,2021 H2,4.0,2.0,False,False,False,OTHER,1,0,Y1,Eligible,Non-Rewards,Low,14,92,,,,,,,,,0,,,,,,,,1,600.00,92,76.65419354,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.004881941828,0.41033813,0.07258003391066667,0.41033813,0.8025656300019921,0.0009600000000000001,750,0.00470975,0.0253,296.54008359872614,0.876950471874487
F,18,Y2,2021 H1,2.0,6.0,True,False,False,APPROVED,1,500,Y2,Eligible,Non-Rewards,High,20,1,1.0,0.0,0.0,0.00,0.00,0.00,3100.00,0.0,0,0.00,0.00,0.0,0.00,0.0,104.30580645,0.00,1,3100.00,1,104.30580645,0.000000,0E-8,0E-8,3100.00000000,0.00,0.0,0.00,0,104.30580645,0E-8,0.004580317438,0.58055781,0.04564286023182207,0.5805578100000001,0.766,0.004410000000000001,1169,0.00471799,0.01814,630.3974226594909,0.94315475
F,7,Y1-S7,2024 Q3,3.0,4.0,True,False,False,APPROVED,1,1500,Y1,Eligible,Rewards,Low,65,14,,,,,,,,,0,,,,,,,,14,44550.00,14,23332.58837636,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,7,Y1-S7,2024 Q1,2.0,,False,False,False,OTHER,1,0,Y1,Eligible,Rewards,Low,89,2,,,,,,,,,0,,,,,,,,2,4550.00,2,2486.44530107,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,11,Y1-S11,2023 Q2,9.0,7.0,False,False,True,APPROVED,4,2000,Y1,Eligible,Non-Rewards,Low,48,1,,,,,,,,,0,,,,,,,,1,5000.00,1,4688.36033333,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.01790709238,0.7449078533,0.03150330221909091,0.78186893,0.8852122574193391,0.0008399999999990001,5500,0.00588291,0.056100000000000004,1896.9100141720667,0.9441795241852121
