RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PRINCIPAL_BALANCE_OPEN_ACCOUNTS,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT,ACTUAL_PBAD_PER_OPEN,ACTUAL_SEVERITY,ACTUAL_UTIL,ACTUAL_DQ30,ACTUAL_CREDIT_LINE,ACTUAL_CASH_ADVANCE,ACTUAL_PENALTY,ACTUAL_PVOL,ACTUAL_ATTRITION,ACTUAL_OUTSTANDING
F,26,Y3,2024 Q4,15.0,7.0,False,False,True,OTHER,6,0,Y3+,Eligible,Rewards,Low,39,1,,,,,,,,,0,,,,,,,,1,5100.0,1,4852.483,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01818333333,0.7539869,0.014596203236061906,0.7539869,0.9236000000000001,0.0015400000000000001,5363,0.0043,0.0714,1707.8258028637315,0.9455072999999999,,,,,,,,,,
F,18,Y2,2025 Q1,2.0,4.0,False,False,False,OTHER,4,0,Y2,Eligible,Rewards,Low,26,13,,,,,,,,,0,,,,,,,,13,49750.0,13,4658.9548387,0.0,0.0,0.0,0.0,,,,0,,0.0,0.005163314267,0.40711154,0.04059032974857792,0.40711154,0.7741,0.0018100000000000002,3516,0.0047,0.0181,1280.9836315236703,0.91403104,,,,,,,,,,
F,18,Y2,2024 Q3,3.0,9.0,True,False,False,APPROVED,1,3000,Y2,Eligible,Non-Rewards,Low,36,2,,,,,,,,,0,,,,,,,,2,7950.0,2,7458.60933333,0.0,0.0,0.0,0.0,,,,0,,0.0,0.008297818757,0.7039684898,0.04075140165914037,0.7339161,0.8067000000000001,0.0014600000000000001,3676,0.005200000000000001,0.0257,1952.3605194444701,0.9458438,,,,,,,,,,
F,18,Y2,2024 Q2,3.0,4.0,False,False,False,OTHER,1,0,Y2,Eligible,Rewards,Low,76,14,,,,,,,,,0,,,,,,,,44,64800.0,14,31180.858,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,18,Y2,2021 H2,14.0,6.0,False,False,False,APPROVED,2,500,Y2,Eligible,Non-Rewards,High,39,3,3.0,0.0,0.0,1191.95,0.0,1494.67,6350.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2411.44466667,1207.78,3,6350.0,3,2411.44466667,0.0,0.0,0.2353811,2116.66666667,0.0,1.0,0.0,0,2411.44466667,0.0,0.01489399349,0.683813655,0.02161766040756085,0.683813655,0.8966000000000001,0.0014600000000000001,1931,0.0045000000000000005,0.0654,744.7198159328806,0.93605466,0.0,,0.18770866141732284,0.0,2116.6666666666665,0.0,0.3333333333333333,0.0,0.0,2411.44466667
F,26,Y3,2023 Q1,8.0,10.0,True,False,False,APPROVED,1,2000,Y3+,Eligible,Non-Rewards,Low,48,2,,,,,,,,,0,,,,,,,,2,7650.0,2,6160.5684301,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01477229167,0.8302774,0.04309290758531073,0.8302773999999999,0.8656,0.00333,2655,0.0064,0.0367,1154.184502816622,0.9485072999999999,,,,,,,,,,
F,7,Y1-S7,2022 Q4,2.0,2.0,False,False,False,APPROVED,1,100,Y1,Not Eligible,Rewards,Low,71,43,,,,,,,,,0,,,,,,,,75,224150.0,43,85138.79052689,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,7,Y1-S7,2020 H2,3.0,7.0,True,False,False,APPROVED,1,300,Y1,Eligible,Non-Rewards,Low,51,17,,,,,,,,,0,,,,,,,,1,2450.0,17,2317.90709677,0.0,0.0,0.0,0.0,,,,0,,0.0,0.007232136498,0.69003541,0.051347057036896876,0.69003541,0.829476701018487,0.0008399999999990001,1057,0.00507363,0.0261,527.9965509587208,0.9441795241852121,,,,,,,,,,
F,7,Y1-S7,2024 Q4,1.0,5.0,False,False,False,APPROVED,1,1000,Y1,Eligible,Rewards,Low,50,7,,,,,,,,,0,,,,,,,,7,23800.0,7,14112.09233334,0.0,0.0,0.0,0.0,,,,0,,0.0,0.004066236602,0.62327266,0.0759933618006483,0.62327266,0.7919449209707871,0.0008399999999990001,1851,0.00420561,0.014400000000000001,962.473529607709,0.9377883106196371,,,,,,,,,,
F,11,Y1-S11,2024 Q1,12.0,7.0,False,False,False,APPROVED,2,1000,Y1,Eligible,Non-Rewards,Low,74,1,,,,,,,,,0,,,,,,,,1,2100.0,1,2107.01354839,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
