RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PRINCIPAL_BALANCE_OPEN_ACCOUNTS,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT,ACTUAL_PBAD_PER_OPEN,ACTUAL_SEVERITY,ACTUAL_UTIL,ACTUAL_DQ30,ACTUAL_CREDIT_LINE,ACTUAL_CASH_ADVANCE,ACTUAL_PENALTY,ACTUAL_PVOL,ACTUAL_ATTRITION,ACTUAL_OUTSTANDING
F,11,Y1-S11,2023 Q1,11.0,5.0,False,False,False,OTHER,1,0,Y1,Eligible,Rewards,Low,78,53,,,,,,,,,0,,,,,,,,205,227550.0,53,147906.41467736,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2023 Q4,6.0,6.0,True,False,False,APPROVED,3,500,Y1,Eligible,Non-Rewards,High,13,1,1.0,0.0,0.0,2071.59,123.31,2130.49,3000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2160.81387097,2142.53,1,3000.0,1,2160.81387097,0.0,0.0,0.71016333,3000.0,0.0,0.0,123.31,0,2160.81387097,0.05706646,0.007804911039,0.7274508449,0.06779570772463285,0.72988705,0.8402351813475961,0.0009600000000000001,2996,0.00515269,0.034300000000000004,2077.4279017921217,0.9373733517025301,0.0,,0.6905300000000001,0.0,3000.0,0.0,0.0,0.057878703960121854,0.0,2160.81387097
F,18,Y2,2023 Q2,11.0,4.0,False,False,False,OTHER,3,0,Y2,Eligible,Non-Rewards,High,10,17,17.0,0.0,0.0,22879.97,4343.52,24285.06,40300.0,0.0,0,0.0,0.0,1.0,502.0,2.0,24319.14563959,20783.53,17,40300.0,17,24319.14563959,0.0,0.0,0.60260695,2370.58823529,502.0,2.0,4343.52,0,24319.14563959,0.17860496,0.006560081257,0.4441934,0.072426046432708,0.44419339999999996,0.8943000000000001,0.00197,2452,0.007200000000000001,0.06770000000000001,1048.6705911222698,0.89211792,0.0,,0.5677411910669975,0.0,2370.5882352941176,0.058823529411764705,0.11764705882352941,0.17885564211082863,0.0,24319.14563959
F,7,Y1-S7,2022 Q4,2.0,3.0,True,False,False,APPROVED,2,1000,Y1,Eligible,Non-Rewards,Low,25,4,,,,,,,,,0,,,,,,,,90,482800.0,4,221334.02425805,0.0,0.0,0.0,0.0,,,,0,,0.0,0.006171247642,0.49217817,0.08270255606856455,0.49217817,0.80458300825367,0.0011400000000000002,2494,0.00490132,0.020800000000000003,1120.2928912624448,0.9240317199769471,,,,,,,,,,
F,11,Y1-S11,2023 Q2,1.0,2.0,True,False,True,APPROVED,4,1500,Y1,Eligible,Non-Rewards,Low,85,63,,,,,,,,,0,,,,,,,,24,167500.0,63,51941.81465592,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,18,Y2,2023 Q3,6.0,8.0,False,False,False,APPROVED,1,1500,Y2,Eligible,Non-Rewards,Low,79,1,,,,,,,,,0,,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,18,Y2,2025 Q2,11.0,5.0,False,False,True,OTHER,5,0,Y2,Eligible,Rewards,Low,83,1,,,,,,,,,0,,,,,,,,1,5000.0,1,14.404,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2023 Q2,1.0,5.0,False,False,False,OTHER,1,0,Y1,Eligible,Rewards,Low,46,1,,,,,,,,,0,,,,,,,,1,6000.0,1,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.00375,0.66321461,0.05961408810223267,0.66321461,0.7919449209707871,0.0008399999999990001,851,0.00420561,0.014400000000000001,481.76185946996605,0.9377883106196371,,,,,,,,,,
F,26,Y3,2023 Q2,12.0,9.0,False,False,False,OTHER,2,0,Y3+,Eligible,Non-Rewards,Low,63,290,,,,,,,,,0,,,,,,,,80,172600.0,290,136200.32434669,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,7,Y1-S7,2024 Q2,2.0,2.0,True,False,False,APPROVED,1,500,Y1,Not Eligible,Non-Rewards,Low,68,3,,,,,,,,,0,,,,,,,,3,4800.0,3,2006.55912903,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2022 Q1,12.0,4.0,False,False,False,APPROVED,2,500,Y1,Eligible,Rewards,Low,41,4,,,,,,,,,0,,,,,,,,1,5800.0,4,2535.20774194,0.0,0.0,0.0,0.0,,,,0,,0.0,0.02135145049,0.62983645,0.01891433133076528,0.62983645,0.9015109165729641,0.001019999999999,1947,0.0061873,0.0613,553.9612115897672,0.9329387415379221,,,,,,,,,,
F,18,Y2,2025 Q1,10.0,1.0,False,False,False,OTHER,1,0,Y2,Eligible,Non-Rewards,Low,60,4,,,,,,,,,0,,,,,,,,2,1850.0,4,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.009692808667,0.3896955,0.01716725528031496,0.3896955,0.872,0.0014600000000000001,635,0.0063,0.037200000000000004,130.04601216559297,0.8609013999999999,,,,,,,,,,
F,7,Y1-S7,2023 Q4,10.0,4.0,False,False,False,APPROVED,1,1000,Y1,Eligible,Non-Rewards,Low,19,1,,,,,,,,,0,,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01986907178,0.63845889,0.05281093066080097,0.63845889,0.9269692497580551,0.0011400000000000002,1648,0.00601049,0.068,855.4507403506096,0.9296946690313651,,,,,,,,,,
F,26,Y3,2023 Q4,2.0,3.0,False,False,False,OTHER,2,0,Y3+,Eligible,Non-Rewards,Low,56,51,,,,,,,,,0,,,,,,,,4,5350.0,51,590.22387097,0.0,0.0,0.0,0.0,,,,0,,0.0,0.004982217978,0.3405552,0.013653145139429312,0.3405552,0.8115,0.0015400000000000001,1542,0.0047,0.0181,385.71126006386675,0.87565314,,,,,,,,,,
F,11,Y1-S11,2022 Q4,15.0,7.0,False,False,False,OTHER,1,0,Y1,Eligible,Non-Rewards,High,21,1028,1005.0,21.0,252.0,543864.34,61899.84,595837.33,750150.0,34.0,9,11353.75,11250.0,6.0,583.47,130.0,581578.24182796,516138.05,1005,750150.0,1028,581578.24182796,0.250746,540.6547619,0.79429092,746.41791045,583.47,130.0,61899.84,9,581578.24182796,0.10643424,0.04225881378,0.77373948,0.02420706656743421,0.77373948,0.9735589288517931,0.0011400000000000002,608,0.00638743,0.08460000000000001,237.39966960296016,0.9424805600294721,0.020895522388059702,1.0092222222222222,0.7250074518429647,0.03383084577114428,746.4179104477612,0.005970149253731343,0.12935323383084577,0.10388714651362982,0.008955223880597015,581578.24182796
F,7,Y1-S7,2023 Q1,7.0,7.0,True,False,False,APPROVED,1,500,Y1,Eligible,Non-Rewards,Low,58,39,,,,,,,,,0,,,,,,,,26,66700.0,39,50408.38566666,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01326847367,0.75642178,0.043557371146218486,0.75642178,0.86955055864978,0.0008399999999990001,1190,0.0056416,0.0463,441.20359924196595,0.9441795241852121,,,,,,,,,,
F,18,Y2,2024 Q3,2.0,4.0,False,True,False,OTHER,2,0,Y2,Eligible,Rewards,High,7,1,1.0,0.0,0.0,929.39,9.5,960.48,2000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1281.26870968,1285.98,1,2000.0,1,1281.26870968,0.0,0.0,0.48024,2000.0,0.0,0.0,9.5,0,1281.26870968,0.00741453,0.0004917672889,0.3535273,0.10711987991738268,0.3535273,0.6147,0.0016400000000000002,1513,0.0043,0.0103,528.2213220325162,0.87408514,0.0,,0.46469499999999997,0.0,2000.0,0.0,0.0,0.009890887889388638,0.0,1281.26870968
F,11,Y1-S11,2022 Q4,4.0,9.0,True,False,True,APPROVED,2,2500,Y1,Eligible,Non-Rewards,Low,83,2,,,,,,,,,0,,,,,,,,1,5000.0,2,3350.18354839,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,26,Y3,2024 Q4,2.0,8.0,False,False,True,OTHER,6,0,Y3+,Eligible,Non-Rewards,Low,79,2,,,,,,,,,0,,,,,,,,1,6000.0,2,2439.42433333,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,7,Y1-S7,2022 Q4,10.0,7.0,False,False,False,OTHER,2,0,Y1,Eligible,Rewards,High,14,18,18.0,0.0,0.0,36625.36,1129.74,38264.64,43550.0,0.0,0,0.0,0.0,0.0,0.0,2.0,37742.42933331,35326.99,18,43550.0,18,37742.42933331,0.0,0.0,0.87863697,2419.44444444,0.0,2.0,1129.74,0,37742.42933331,0.02993289,0.01594229106,0.81942696,0.05875755560851648,0.81942696,0.9239031926764391,0.0009600000000000001,1456,0.00609829,0.0589,1073.1494928279928,0.9395073727569261,0.0,,0.8409956371986222,0.0,2419.4444444444443,0.0,0.1111111111111111,0.0295243859605108,0.0,37742.42933331
F,7,Y1-S7,2024 Q1,12.0,6.0,False,False,False,APPROVED,2,500,Y1,Eligible,Rewards,High,15,2,2.0,0.0,0.0,6784.22,62.11,6941.06,7000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6936.51195699,6588.17,2,7000.0,2,6936.51195699,0.0,0.0,0.99158,3500.0,0.0,0.0,62.11,0,6936.51195699,0.00895407,0.02073308358,0.74824174,0.051388304993836675,0.74824174,0.9402081770651071,0.0009600000000000001,1947,0.0064455400000000005,0.0695,1245.3160727438121,0.9381170871040551,0.0,,0.9691742857142858,0.0,3500.0,0.0,0.0,0.008948200995237039,0.0,6936.51195699
F,7,Y1-S7,2022 Q2,2.0,1.0,False,False,False,APPROVED,1,500,Y1,Not Eligible,Non-Rewards,High,37,12,12.0,0.0,0.0,14899.61,4278.14,15253.08,43850.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13901.14920429,12185.04,12,43850.0,12,13901.14920429,0.0,0.0,0.34784675,3654.16666667,0.0,0.0,4278.14,0,13901.14920429,0.30775441,0.005945489049,0.25261102,0.06088060017674063,0.25261102,0.8164760822565751,0.001019999999999,1307,0.00490132,0.0213,277.17941865486614,0.8811869824598241,0.0,,0.33978586088939566,0.0,3654.1666666666665,0.0,0.0,0.28047712330886615,0.0,13901.14920429
F,18,Y2,2021 H1,15.0,10.0,False,False,False,APPROVED,2,1000,Y2,Eligible,Non-Rewards,Low,79,14,,,,,,,,,0,,,,,,,,7,20750.0,14,14893.42599001,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2020 H1,13.0,4.0,False,False,False,APPROVED,1,300,Y1,Eligible,Non-Rewards,Low,42,2,,,,,,,,,0,,,,,,,,2,1700.0,2,600.75566666,0.0,0.0,0.0,0.0,,,,0,,0.0,0.02143478383,0.60107471,0.014188600410617551,0.60107471,0.907087166245342,0.001019999999999,923,0.00626828,0.06420000000000001,235.8073235281067,0.9329387415379221,,,,,,,,,,
F,11,Y1-S11,2024 Q4,3.0,5.0,False,False,True,APPROVED,4,1000,Y1,Eligible,Rewards,Low,9,10,,,,,,,,,0,,,,,,,,10,45500.0,10,29003.63080645,0.0,0.0,0.0,0.0,,,,0,,0.0,0.001506800044,0.6867369446,0.1038613089840461,0.69287812,0.667049534360871,0.0009600000000000001,4513,0.00443819,0.0162,3059.773756990662,0.930445896974958,,,,,,,,,,
F,18,Y2,2024 Q3,1.0,4.0,False,True,False,OTHER,4,0,Y2,Eligible,Rewards,High,8,1,1.0,0.0,0.0,138.55,138.55,138.55,7000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,27.92419355,0.0,1,7000.0,1,27.92419355,0.0,0.0,0.01979286,7000.0,0.0,0.0,138.55,0,27.92419355,4.96164732,0.0003622265543,0.41221983,0.09160024947286162,0.41221983,0.5294,0.003920000000000001,3519,0.0035,0.0043,1427.5139412088668,0.8781549999999999,0.0,,0.019792857142857143,0.0,7000.0,0.0,0.0,1.0,0.0,27.92419355
F,18,Y2,2025 Q1,15.0,9.0,False,False,False,OTHER,3,0,Y2,Eligible,Rewards,Low,48,458,,,,,,,,,0,,,,,,,,422,1187200.0,458,1078653.02183834,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01773333333,0.8307853,0.014684113236400816,0.8307853,0.9149,0.0014600000000000001,2445,0.0043,0.0594,688.4967337708384,0.9458438,,,,,,,,,,
F,18,Y2,2018 H2,15.0,4.0,False,False,False,OTHER,1,0,Y2,Eligible,Non-Rewards,Low,48,21,,,,,,,,,0,,,,,,,,23,18950.0,21,9078.43430102,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01493734709,0.74863272,0.008552771702237522,0.74863272,0.9149,0.0014600000000000001,581,0.0043,0.0594,172.6650654962804,0.91403104,,,,,,,,,,
F,7,Y1-S7,2024 Q1,2.0,2.0,False,False,False,APPROVED,2,100,Y1,Eligible,Non-Rewards,Low,62,9,,,,,,,,,0,,,,,,,,8,26700.0,9,7295.71159139,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2019 H1,4.0,5.0,False,False,False,OTHER,1,0,Y1,Eligible,Non-Rewards,Low,52,24,,,,,,,,,0,,,,,,,,54,142900.0,24,64731.25835468,0.0,0.0,0.0,0.0,,,,0,,0.0,0.008876979976,0.66561003,0.04281512459066667,0.66561003,0.8393731662892541,0.0008399999999990001,750,0.00522745,0.0296,332.4115087757542,0.9377883106196371,,,,,,,,,,
F,18,Y2,2022 Q2,11.0,8.0,False,False,False,APPROVED,4,500,Y2,Eligible,Non-Rewards,Low,60,1,,,,,,,,,0,,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01391666667,0.6718210823,0.01743155139044522,0.6777544,0.8753000000000001,0.0014600000000000001,3998,0.0061,0.0397,1097.4089724990965,0.9456624100000001,,,,,,,,,,
F,7,Y1-S7,2023 Q1,4.0,1.0,False,False,False,APPROVED,2,100,Y1,Eligible,Rewards,Low,25,6,,,,,,,,,0,,,,,,,,8,17600.0,6,7460.45414746,0.0,0.0,0.0,0.0,,,,0,,0.0,0.008521348195,0.24136191,0.06188734682479443,0.24136191,0.843804100176829,0.0011400000000000002,1581,0.00522745,0.0323,336.31435783415736,0.8811869824598241,,,,,,,,,,
F,7,Y1-S7,2022 Q4,14.0,10.0,False,False,False,APPROVED,1,1000,Y1,Eligible,Non-Rewards,Low,31,3,,,,,,,,,0,,,,,,,,6,16250.0,3,14491.010957,0.0,0.0,0.0,0.0,,,,0,,0.0,0.02271162477,0.86395402,0.029779294574613004,0.86395402,0.91293645819231,0.001019999999999,1615,0.00633566,0.0728,708.2495201524863,0.948684656166747,,,,,,,,,,
F,11,Y1-S11,2019 H1,7.0,,False,False,False,OTHER,1,0,Y1,Eligible,Non-Rewards,High,41,1,1.0,0.0,0.0,882.5,0.0,902.49,950.0,0.0,0,0.0,0.0,0.0,0.0,0.0,905.40290322,899.52,1,950.0,1,905.40290322,0.0,0.0,0.94998947,950.0,0.0,0.0,0.0,0,905.40290322,0.0,,,,,,,,,,,,0.0,,0.9289473684210526,0.0,950.0,0.0,0.0,0.0,0.0,905.40290322
F,11,Y1-S11,2024 Q4,5.0,3.0,False,False,False,OTHER,4,0,Y1,Eligible,Non-Rewards,Low,40,40,,,,,,,,,0,,,,,,,,2,8000.0,40,3594.07,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01089896886,0.4871773,0.04073095701344778,0.4871773,0.849585222682923,0.001019999999999,3495,0.0053725,0.031400000000000004,1184.9408468215645,0.9240317199769471,,,,,,,,,,
F,18,Y2,2021 H2,4.0,8.0,True,False,False,APPROVED,2,2000,Y2,Eligible,Non-Rewards,Low,12,1,,,,,,,,,0,,,,,,,,87,386400.0,1,248298.77690293,0.0,0.0,0.0,0.0,,,,0,,0.0,0.004425587885,0.7038858,0.06726145218735632,0.7038858,0.7758,0.00197,3480,0.0056,0.027200000000000002,2349.0432137045373,0.93796154,,,,,,,,,,
F,7,Y1-S7,2024 Q1,7.0,1.0,False,False,False,OTHER,3,0,Y1,Eligible,Rewards,High,6,16,16.0,0.0,0.0,10746.24,3559.55,11091.13,48000.0,1.0,0,0.0,0.0,1.0,327.95,1.0,9901.94575267,6687.97,16,48000.0,16,9901.94575267,0.0,0.0,0.23106521,3000.0,327.95,1.0,3559.55,0,9901.94575267,0.35947985,0.001103776199,0.15229536,0.09843372050601927,0.15229536,0.755728753778343,0.0007800000000000001,2492,0.00684669,0.021400000000000002,376.87248004044926,0.676637858941123,0.0,,0.22388,0.0625,3000.0,0.0625,0.0625,0.32093664036036007,0.0,9901.94575267
F,11,Y1-S11,2020 H2,14.0,8.0,False,False,False,APPROVED,2,300,Y1,Eligible,Non-Rewards,High,30,2,2.0,0.0,0.0,2047.69,0.0,2110.55,3250.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2129.83709677,2091.09,2,3250.0,2,2129.83709677,0.0,0.0,0.6494,1625.0,0.0,0.0,0.0,0,2129.83709677,0.0,0.02425410109,0.83922274,0.018721788427011495,0.83922274,0.9129364581923091,0.0011400000000000002,1740,0.00633566,0.07350000000000001,750.1021454989117,0.9461976067505481,0.0,,0.6300584615384616,0.0,1625.0,0.0,0.0,0.0,0.0,2129.83709677
F,18,Y2,2024 Q4,6.0,6.0,False,False,False,OTHER,3,0,Y2,Eligible,Non-Rewards,Low,81,35,,,,,,,,,0,,,,,,,,75,204500.0,35,115406.78862369,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2024 Q1,3.0,3.0,True,False,False,APPROVED,2,2000,Y1,Eligible,Rewards,Low,46,45,,,,,,,,,0,,,,,,,,61,248850.0,45,109100.84498927,0.0,0.0,0.0,0.0,,,,0,,0.0,0.007865874483,0.4774262136,0.07057539399971396,0.48295198,0.829476701018487,0.0008399999999990001,3496,0.00507363,0.0261,1210.6198134670299,0.9240317199769471,,,,,,,,,,
F,7,Y1-S7,2023 Q1,5.0,9.0,True,False,False,APPROVED,2,1000,Y1,Eligible,Rewards,Low,50,23,,,,,,,,,0,,,,,,,,32,131450.0,23,111226.89081721,0.0,0.0,0.0,0.0,,,,0,,0.0,0.009899327957,0.82267949,0.04825536159693672,0.8226794900000001,0.849585222682923,0.0008399999999990001,2481,0.0053725,0.031400000000000004,1320.6048178679139,0.9472573796835111,,,,,,,,,,
F,11,Y1-S11,2022 Q1,13.0,10.0,False,False,False,APPROVED,2,500,Y1,Eligible,Non-Rewards,Low,46,9,,,,,,,,,0,,,,,,,,1,2100.0,9,2344.5683871,0.0,0.0,0.0,0.0,,,,0,,0.0,0.02143478383,0.85382358,0.013673008554297478,0.85382358,0.907087166245342,0.0008399999999990001,1943,0.00626828,0.06420000000000001,644.148602188421,0.948684656166747,,,,,,,,,,
F,18,Y2,2022 Q4,5.0,4.0,False,False,False,APPROVED,1,1000,Y2,Eligible,Rewards,High,7,6,6.0,0.0,0.0,6691.66,691.39,6964.65,9650.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6831.97031181,6779.68,6,9650.0,6,6831.97031181,0.0,0.0,0.72172539,1608.33333333,0.0,0.0,691.39,0,6831.97031181,0.10119921,0.001007916667,0.3545866,0.10128020696826347,0.3545866,0.7391000000000001,0.0016400000000000002,1670,0.0066,0.0298,583.6041951962819,0.87408514,0.0,,0.6934362694300518,0.0,1608.3333333333333,0.0,0.0,0.09927132016684256,0.0,6831.97031181
F,7,Y1-S7,2022 Q1,4.0,4.0,True,False,False,APPROVED,2,500,Y1,Eligible,Non-Rewards,Low,38,21,,,,,,,,,0,,,,,,,,62,302100.0,21,154284.13215284,0.0,0.0,0.0,0.0,,,,0,,0.0,0.00892094288,0.55767061,0.048239359049974756,0.5576706100000001,0.8393731662892541,0.001019999999999,1981,0.00522745,0.0296,855.4066597092972,0.9329387415379221,,,,,,,,,,
F,26,Y3,2023 Q3,3.0,1.0,False,False,True,OTHER,5,0,Y3+,Eligible,Rewards,Low,36,18,,,,,,,,,0,,,,,,,,16,75850.0,18,4237.90136559,0.0,0.0,0.0,0.0,,,,0,,0.0,0.006360814278,0.1888028,0.03416681486690567,0.1888028,0.8067000000000001,0.00333,4463,0.005200000000000001,0.0257,681.9088470203774,0.80293011,,,,,,,,,,
F,26,Y3,2023 Q2,2.0,6.0,False,False,True,OTHER,7,0,Y3+,Eligible,Non-Rewards,High,7,2,2.0,0.0,0.0,9063.83,777.49,9305.33,16000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8813.8424301,8897.21,2,16000.0,2,8813.8424301,0.0,0.0,0.58158313,8000.0,0.0,0.0,777.49,0,8813.8424301,0.08821238,0.0005166666667,0.5731803,0.06546987378300734,0.5731803,0.6147,0.0020700000000000002,6544,0.0043,0.0103,3694.963798368901,0.95053718,0.0,,0.566489375,0.0,8000.0,0.0,0.0,0.08355318940865074,0.0,8813.8424301
F,18,Y2,2019 H1,12.0,7.0,False,False,False,OTHER,2,0,Y2,Eligible,Non-Rewards,Low,70,25,,,,,,,,,0,,,,,,,,28,96300.0,25,43623.20347006,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,11,Y1-S11,2024 Q4,15.0,,False,False,False,OTHER,1,0,Y1,Eligible,Rewards,Low,50,1,,,,,,,,,0,,,,,,,,1,750.0,1,747.56,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,18,Y2,2022 Q4,8.0,7.0,False,False,False,OTHER,3,0,Y2,Eligible,Rewards,Low,22,1,,,,,,,,,0,,,,,,,,15,58650.0,1,29164.9898602,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01483892354,0.6239074,0.05050284260577705,0.6239074,0.8751,0.0018100000000000002,2458,0.0064,0.058600000000000006,1244.1762951835844,0.94730435,,,,,,,,,,
F,7,Y1-S7,2022 Q4,8.0,10.0,False,False,False,OTHER,3,0,Y1,Eligible,Non-Rewards,Low,42,16,,,,,,,,,0,,,,,,,,14,52200.0,16,40264.38775268,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01400317476,0.8221492,0.03783917971411483,0.8221491999999999,0.8782466275751251,0.001019999999999,2508,0.0057658300000000004,0.0512,1207.9747763700595,0.948684656166747,,,,,,,,,,
F,18,Y2,2025 Q2,7.0,3.0,False,False,False,OTHER,2,0,Y2,Eligible,Rewards,Low,16,29,,,,,,,,,0,,,,,,,,29,53000.0,29,10064.84555915,0.0,0.0,0.0,0.0,,,,0,,0.0,0.008775600802,0.4097382,0.05700276254951857,0.4097382,0.8644000000000001,0.00197,1454,0.0067,0.0531,545.4730468796324,0.88431168,,,,,,,,,,
F,7,Y1-S7,2023 Q2,4.0,2.0,False,False,False,OTHER,3,0,Y1,Eligible,Non-Rewards,Low,53,1,,,,,,,,,0,,,,,,,,1,5000.0,1,4149.69966667,0.0,0.0,0.0,0.0,,,,0,,0.0,0.00892094288,0.47391854,0.04335360371036708,0.47391854,0.8393731662892541,0.0008399999999990001,2479,0.00522745,0.0296,784.3830641472016,0.9102563418171141,,,,,,,,,,
F,18,Y2,2022 Q4,11.0,6.0,False,False,False,APPROVED,2,2000,Y2,Eligible,Rewards,Low,58,1,,,,,,,,,0,,,,,,,,1,3350.0,1,2895.90266667,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01352665855,0.63884163,0.02536198537481826,0.63884163,0.8758,0.0014600000000000001,3439,0.0061,0.0397,952.663534648589,0.93605466,,,,,,,,,,
F,11,Y1-S11,2023 Q3,7.0,6.0,False,False,True,APPROVED,4,1000,Y1,Eligible,Non-Rewards,High,7,21,21.0,0.0,0.0,64517.41,2832.64,66314.9,97600.0,0.0,0,0.0,0.0,0.0,0.0,0.0,65689.8801001,60979.17,21,97600.0,21,65689.8801001,0.0,0.0,0.67945594,4647.61904762,0.0,0.0,2832.64,0,65689.8801001,0.04312141,0.002271822303,0.7580384786,0.07958795139422223,0.76483703,0.77613900563768,0.0009600000000000001,4500,0.00670649,0.0247,3375.5526628947728,0.9363903785991641,0.0,,0.6610390368852459,0.0,4647.619047619048,0.0,0.0,0.04271498562163255,0.0,65689.8801001
F,7,Y1-S7,2022 Q3,15.0,9.0,False,False,False,APPROVED,1,100,Y1,Eligible,Non-Rewards,Low,44,4279,,,,,,,,,0,,,,,,,,231,289200.0,4279,220545.86739778,0.0,0.0,0.0,0.0,,,,0,,0.0,0.02566729272,0.8230874,0.02580867553813559,0.8230873999999999,0.9320234609670741,0.0011759999999990001,708,0.00638743,0.074,155.7262896530329,0.9472573796835111,,,,,,,,,,
F,18,Y2,2022 Q1,8.0,3.0,False,False,False,OTHER,1,0,Y2,Eligible,Non-Rewards,Low,78,121,,,,,,,,,0,,,,,,,,79,120100.0,121,46064.32418276,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,7,Y1-S7,2023 Q3,4.0,7.0,True,False,False,APPROVED,2,750,Y1,Eligible,Rewards,Low,69,9,,,,,,,,,0,,,,,,,,8,35000.0,9,23762.54110753,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,7,Y1-S7,2018 H2,5.0,8.0,True,False,False,APPROVED,1,300,Y1,Eligible,Non-Rewards,Low,81,50,,,,,,,,,0,,,,,,,,30,81250.0,50,42047.05080722,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
