RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,DQ30_RATE,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT
F,11,Y1-S11,2020 H1,1,1,True,False,False,APPROVED,1,500,Y1,Eligible,Non-Rewards,Low,1,1,,,,,,,,0,,,,,,,,,137,182650.00,1,8444.64000000,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,7.726257308000001e-05,0.1142804,0.2158476222531458,0.11428039999999999,0.292112138297198,0.0007800000000000001,1351,0.00329744,0.004,154.2604652135188,0.183202058869739
F,11,Y1-S11,2020 H1,1,1,True,False,False,APPROVED,1,500,Y1,Not Eligible,Non-Rewards,High,1,4,4.0,0.0,0.0,291.81,347.08,4800.00,0.0,0,0.00,0.00,0.0,0.00,0.0,232.99000000,259.87,0.000000,4,4800.00,4,232.99000000,0.000000,0E-8,0.07230833,1200.00000000,0.00,0.0,291.81,0,232.99000000,1.25245719,7.726257308000001e-05,0.1142804,0.2158476222531458,0.11428039999999999,0.292112138297198,0.0007800000000000001,1351,0.00329744,0.004,154.2604652135188,0.183202058869739
F,7,Y1-S7,2023 Q2,1,1,False,False,False,OTHER,3,0,Y1,Eligible,Non-Rewards,High,1,25,25.0,0.0,0.0,8285.90,3794.48,69300.00,0.0,0,0.00,0.00,0.0,0.00,0.0,5182.37166659,993.24,0.000000,25,69300.00,25,5182.37166659,0.000000,0E-8,0.05475440,2772.00000000,0.00,0.0,8285.90,0,5182.37166659,1.59886255,6.034153308000000e-05,0.05383753,0.20248489966735794,0.05383753,0.292112138297198,0.0007800000000000001,2411,0.00329744,0.004,129.69320657896867,0.183202058869739
F,11,Y1-S11,2023 Q3,1,1,True,False,False,APPROVED,3,1500,Y1,Eligible,Non-Rewards,High,1,15,15.0,0.0,0.0,8858.24,2658.16,58700.00,0.0,0,0.00,0.00,0.0,0.00,0.0,1863.58462363,167.85,0.000000,15,58700.00,15,1863.58462363,0.000000,0E-8,0.04528382,3913.33333333,0.00,0.0,8858.24,0,1863.58462363,4.75333392,8.112570174000000e-05,0.09837603901,0.21711564247941703,0.09952113,0.292112138297198,0.0007800000000000001,3911,0.00329744,0.004,384.41737158367323,0.183202058869739
F,7,Y1-S7,2023 Q1,1,1,True,False,False,APPROVED,3,300,Y1,Eligible,Non-Rewards,High,1,1,1.0,0.0,0.0,369.24,0.00,2800.00,0.0,0,0.00,0.00,0.0,0.00,0.0,92.97612903,0.00,0.000000,1,2800.00,1,92.97612903,0.000000,0E-8,0E-8,2800.00000000,0.00,0.0,369.24,0,92.97612903,3.97134193,6.034153308000000e-05,0.05371837648,0.2110359422740686,0.05383753,0.292112138297198,0.0007800000000000001,2711,0.00329744,0.004,145.50813926398513,0.183202058869739
F,7,Y1-S7,2021 H2,1,1,True,False,False,APPROVED,1,1000,Y1,Eligible,Rewards,High,1,38,38.0,0.0,0.0,14826.33,7746.33,73500.00,0.0,0,0.00,0.00,0.0,0.00,0.0,5989.94092146,264.62,0.000000,38,73500.00,38,5989.94092146,0.000000,0E-8,0.10539224,1934.21052632,0.00,0.0,14826.33,0,5989.94092146,2.47520471,6.185007140000001e-05,0.05731422,0.24423148080713128,0.05731422,0.292112138297198,0.0007800000000000001,1851,0.00329744,0.004,105.9993105066512,0.183202058869739
F,7,Y1-S7,2022 Q2,1,1,True,False,False,APPROVED,1,300,Y1,Not Eligible,Non-Rewards,High,1,1,1.0,0.0,0.0,65.61,0.00,1300.00,0.0,0,0.00,0.00,0.0,0.00,0.0,13.00666666,0.00,0.000000,1,1300.00,1,13.00666666,0.000000,0E-8,0E-8,1300.00000000,0.00,0.0,65.61,0,13.00666666,5.04433624,6.034153308000000e-05,0.05731422,0.22262553955169417,0.05731422,0.292112138297198,0.0007800000000000001,1151,0.00329744,0.004,65.9132310090531,0.183202058869739
F,7,Y1-S7,2024 Q1,1,1,False,False,False,OTHER,3,0,Y1,Eligible,Non-Rewards,High,1,75,75.0,0.0,0.0,26501.57,15574.57,244500.00,0.0,0,0.00,0.00,0.0,0.00,0.0,10954.61314415,1817.13,0.000000,75,244500.00,75,10954.61314415,0.000000,0E-8,0.06369967,3260.00000000,0.00,0.0,26501.57,0,10954.61314415,2.41921551,6.034153308000000e-05,0.05383753,0.20248489966735794,0.05383753,0.292112138297198,0.0007800000000000001,2411,0.00329744,0.004,129.69320657896867,0.183202058869739
F,11,Y1-S11,2025 Q2,1,1,False,False,True,APPROVED,5,500,Y1,Not Eligible,Non-Rewards,High,1,3,3.0,0.0,0.0,185.65,68.43,15000.00,0.0,0,0.00,0.00,0.0,0.00,0.0,22.47233333,0.00,0.000000,3,15000.00,3,22.47233333,0.000000,0E-8,0.00456200,5000.00000000,0.00,0.0,185.65,0,22.47233333,8.26126941,,,,,,,,,,,
F,11,Y1-S11,2023 Q2,1,1,True,False,False,APPROVED,1,1500,Y1,Eligible,Non-Rewards,High,1,16,16.0,0.0,0.0,4027.29,2897.12,36150.00,0.0,0,0.00,0.00,0.0,0.00,0.0,1835.59283868,0.00,0.000000,16,36150.00,16,1835.59283868,0.000000,0E-8,0.08014163,2259.37500000,0.00,0.0,4027.29,0,1835.59283868,2.19399963,8.112570174000000e-05,0.1142804,0.24113085364695874,0.11428039999999999,0.292112138297198,0.0007800000000000001,2351,0.00329744,0.004,268.4418589845443,0.183202058869739
